Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
Y154750132,دور,4,4,621,1500000,شرق,المونسية,مؤسسة وسام المساكن العقارية
L002411957,دور,3,3,216,1550000,شرق,المونسية,مؤسسة وسام المساكن العقارية
B901221022,فیلا,8,7,225,900000,غرب,ديراب,مكتب طريق الاسكان
L674257519,دور,3,4,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
I275460448,دور,3,3,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
L338244776,دور,3,5,219,1050000,شرق,الرمال,مؤسسة وسام المساكن العقارية
H708646319,دور,3,3,260,1450000,شرق,الرمال,شركة قصر الرقي العقارية
E510241016,عمارة,3,3,900,520000,جنوب,بدر,شركة قصر الرقي العقارية
Z423786566,دور,3,3,260,1450000,شرق,الرمال,شركة قصر الرقي العقارية
Y925223765,فیلا,6,6,300,4400000,شمال,النرجس,شركة قصر الرقي العقارية
L203454532,فیلا,4,3,600,3450000,شرق,قرطبة,مؤسسة وسام المساكن العقارية
N481293421,دور,4,4,621,1500000,شرق,المونسية,مؤسسة وسام المساكن العقارية
Z593160442,فیلا,5,7,600,3450000,شرق,قرطبة,مؤسسة وسام المساكن العقارية
J790222674,شقة,3,3,141,1370000,شرق,الحمراء,مكتب مسفر سفر مسفر بعيه للعقارات
P147925273,دور,5,6,305,1400000,شرق,القادسية,سكن المعالي للعقارات
C763515734,دور,3,4,203,1150000,شرق,الرمال,سكن المعالي للعقارات
K866193376,دور,3,3,242,1200000,شرق,القادسية,سكن المعالي للعقارات
U145723200,دور,3,3,168,1050000,شرق,القادسية,سكن المعالي للعقارات
F533278137,دور,3,3,205,750000,شرق,الجنادرية,سكن المعالي للعقارات
U470446128,دور,4,4,621,1700000,شرق,المونسية,مكتب البلط للعقارات
T784403056,فیلا,3,4,172,3500000,جنوب,عكاظ,شركة القرطبة للعقارات
K278513716,دور,3,4,625,2400000,شمال,الياسمين,شركة راكز العقارية
Q045808191,شقة,3,2,127,1149000,شمال,العارض,شركة راكز العقارية
R268693820,دور,3,3,79,1750000,شمال,النرجس,شركة راكز العقارية
N465075130,فیلا,3,4,1600,1690000,شمال,العارض,شركة راكز العقارية
B252728346,فیلا,7,5,450,4000000,غرب,المهدية,مكتب خالد عبدالرحمن منيف الدعجاني للعقارات
I227283547,شقة,3,3,128,550000,غرب,الزهرة,شركة نجمة التميز للعقارات
D701664873,فیلا,4,5,260,950000,جنوب,احد,شركة نجمة التميز للعقارات
Z452790258,فیلا,6,6,312,3600000,شمال,القيروان,مؤسسة ركيز العقارية
C810809697,دور,4,4,172,900000,شرق,البيان,إسكان سلمان للتسويق العقاري
P821090663,فیلا,9,6,420,3500000,شمال,العارض,مكتب ابراج العارض للعقارات
O723013051,دور,4,4,175,540000,جنوب,بدر,التشييد الراقي للتطوير العقاري
E126771413,دور,4,2,155,900000,شرق,القادسية,إسكان سلمان للتسويق العقاري
